<Longtitude, Latitude>
-79.4622908, 43.6442005
-79.4622050, 43.6438085
-79.4623552, 43.6436066
-79.4623981, 43.6434319
-79.4620870, 43.6435018
-79.4616580, 43.6434436
-79.4610251, 43.6434630
-79.4608106, 43.6435406
-79.4607141, 43.6437036
-79.4609286, 43.6442316
-79.4607248, 43.6444645
-79.4610788, 43.6445965
-79.4618993, 43.6446392
-79.4628078, 43.6451322
-79.4631596, 43.6453729
-79.4638032, 43.6454039
-79.4644736, 43.6456058
-79.4646112, 43.6457455
-79.4645683, 43.6460328
-79.4645790, 43.6462346
-79.4647004, 43.6468492
-79.4647648, 43.6472180
-79.4647040, 43.6478222
-79.4647988, 43.6485636
-79.4647666, 43.6491653
-79.4647183, 43.6499144
-79.4646861, 43.6501318
-79.4657266, 43.6501512
-79.4660805, 43.6500503
-79.4659733, 43.6498446
-79.4659518, 43.6495302
-79.4660162, 43.6492584
-79.4655496, 43.6491614
-79.4651581, 43.6491614
-79.4651635, 43.6487189
-79.4650616, 43.6481134
-79.4649919, 43.6476903
-79.4650402, 43.6472749
-79.4650348, 43.6468169
-79.4648419, 43.6465025
-79.4648848, 43.6460949
-79.4659574, 43.6459939
-79.4660218, 43.6458387
-79.4660110, 43.6456873
-79.4663114, 43.6456446
-79.4664079, 43.6455514
-79.4663864, 43.6453767
-79.4660164, 43.6452952
-79.4655069, 43.6452098
-79.4650779, 43.6452279
-79.4647239, 43.6454026
-79.4646059, 43.6454725
-79.4640589, 43.6453056
-79.4635977, 43.6451697
-79.4631686, 43.6451464
-79.4629434, 43.6450144
-79.4626216, 43.6447854
-79.4623159, 43.6445214
-79.4621854, 43.6443493
-79.4622908, 43.6442005